code,description,conc_conversion_flag,conc_conversion_value_multiplier,conc_conversion_unit
AI ng/cm2,active ingredient. nanograms per square centimeter,FALSE,NA,NA
AI ng/cm2 lf,active ingredient nanograms per square centimeter leaf,FALSE,NA,NA
AI ng/eu,active ingredient nanograms per experimental unit,FALSE,NA,NA
AI ng/g,active ingredient nanograms per gram,FALSE,NA,NA
AI ng/g bdwt,active ingredient nanograms per gram bodyweight,FALSE,NA,NA
AI ng/g diet,active ingredient nanograms per gram diet,FALSE,NA,NA
AI ng/g org,active ingredient nanograms per gram organism,FALSE,NA,NA
AI ng/kg diet,active ingredient nanograms per kilogram diet,FALSE,NA,NA
AI ng/mL,active ingredient nanograms per milliliter,FALSE,NA,NA
AI ng/mg bdwt,active ingredient nanograms per milligrams body weight,FALSE,NA,NA
AI ng/mg diet,active ingredient nanograms per milligram diet,FALSE,NA,NA
AI ng/ml diet,active ingredient nanograms per milliliter diet,FALSE,NA,NA
AI ng/org,active ingredient nanograms per organism,FALSE,NA,NA
AI ng/org/d,active ingredient nanograms per organism per day,FALSE,NA,NA
AI ng/uL diet/d,active ingredient nanograms per microliter diet per day,FALSE,NA,NA
AI ng/ul,active ingredient nanograms per microliter,FALSE,NA,NA
AI ng/ul diet,Active ingredient nanograms per microliter diet,FALSE,NA,NA
AI oz/100 gal,active ingredient ounces per 100 gallons,FALSE,NA,NA
AI oz/100 lb sd,active ingredient ounces per 100 pounds seed,FALSE,NA,NA
AI oz/1000 ft,active ingredient ounces per 1000 feet,FALSE,NA,NA
AI oz/1000 ft2,active ingredient ounces per 1000 square feet,FALSE,NA,NA
AI oz/25 lbs bdwt,active ingredient ounces per 25 pounds body weight,FALSE,NA,NA
AI oz/40 gal,active ingredient ounces per 40 gallons,FALSE,NA,NA
AI oz/acre,active ingredient ounces per acre,FALSE,NA,NA
AI oz/cwt sd,active ingredient ounces per hundredweight seed,FALSE,NA,NA
AI oz/gal,active ingredient ounces per gallon,FALSE,NA,NA
AI oz/in dbh,active ingredient ounces per inches diameter at breast height,FALSE,NA,NA
AI oz/lb seed,active ingredient ounces per pound seed,FALSE,NA,NA
AI ppb diet,active ingredient parts per billion diet,FALSE,NA,NA
AI pph sd,active ingredient parts per one hundred parts seed,FALSE,NA,NA
AI ppm H2O,active ingredient parts per million water,FALSE,NA,NA
AI ppm diet,active ingredient parts per million diet,FALSE,NA,NA
AI ppm dry soil,active ingredient parts per million dry soil,FALSE,NA,NA
AI ppm soil,active ingredient parts per million soil,FALSE,NA,NA
AI ppm soil w/w,active ingredient parts per million soil weight per weight basis,FALSE,NA,NA
AI ppm w/v bt,active ingredient parts per million weight per volume bait,FALSE,NA,NA
AI ppm w/w,active ingredient parts per million weight per weight,FALSE,NA,NA
AI ppm w/w bt,active ingredient parts per million weight per weight bait,FALSE,NA,NA
AI ppm w/w dry bt,active ingredient parts per million weight per weight dry bait,FALSE,NA,NA
AI ppmw/soil vol,active ingredient parts per million by weight per soil volume,FALSE,NA,NA
AI pt/acre,active ingredient pints per acre,FALSE,NA,NA
AI uM,active ingredient microMolar,FALSE,NA,NA
AI ug,active ingredient micrograms,FALSE,NA,NA
AI ug/0.5 ul,active ingredient micrograms per 0.5 microliters,FALSE,NA,NA
AI ug/10 ul,active ingredient micrograms per 10 microliters,FALSE,NA,NA
AI ug/100 cm2,active ingredient micrograms per 100 square centimeters,FALSE,NA,NA
AI ug/100 org,active ingredient micrograms per 100 organisms,FALSE,NA,NA
AI ug/120 g soil,active ingredient micrograms per 120 grams soil,FALSE,NA,NA
AI ug/40 ml diet,active ingredient micrograms per 40 milliliters diet,FALSE,NA,NA
AI ug/L diet,active ingredient micrograms per liter diet,FALSE,NA,NA
AI ug/cm2,active ingredient micrograms per square centimeter,FALSE,NA,NA
AI ug/cm2 diet,active ingredient micrograms per square centimeters diet,FALSE,NA,NA
AI ug/cm2 media,active ingredient micrograms per square centimeter of media,FALSE,NA,NA
AI ug/eu,active ingredient micrograms per experimental unit,FALSE,NA,NA
AI ug/g,active ingredient micrograms per gram,FALSE,NA,NA
AI ug/g bdwt,active ingredient micrograms per gram body weight,FALSE,NA,NA
AI ug/g diet,active ingredient micrograms per gram diet,FALSE,NA,NA
AI ug/g dry diet,active ingredient micrograms per gram dry diet,FALSE,NA,NA
AI ug/g dry soil,active ingredient micrograms per gram dry soil,FALSE,NA,NA
AI ug/g egg,active ingredient micrograms per gram egg,FALSE,NA,NA
AI ug/g eu,active ingredient micrograms per gram experimental unit,FALSE,NA,NA
AI ug/g org,active ingredient micrograms per gram organism,FALSE,NA,NA
AI ug/g soil,active ingredient micrograms per gram soil,FALSE,NA,NA
AI ug/g wet media,active ingredient micrograms per gram wet media,FALSE,NA,NA
AI ug/kg,active ingredient micrograms per kilogram,FALSE,NA,NA
AI ug/kg bdwt/d,active ingredient micrograms per kilogram body weight per day,FALSE,NA,NA
AI ug/kg diet,active ingredient micrograms per kilogram diet,FALSE,NA,NA
AI ug/kg dry media,active ingredient micrograms per kilogram dry media,FALSE,NA,NA
AI ug/kg dry soil,active ingredient micrograms per kilogram dry soil,FALSE,NA,NA
AI ug/kg soil,active ingredient micrograms per kilogram soil,FALSE,NA,NA
AI ug/kg wet media,active ingredient micrograms per kilogram wet media,FALSE,NA,NA
AI ug/mg 100 ml solv,active ingredient micrograms per milligram in 100 milliliters of solvent,FALSE,NA,NA
AI ug/mg bdwt,active ingredient micrograms per milligram body weight,FALSE,NA,NA
AI ug/ml diet,active ingredient micrograms per milliliter diet,FALSE,NA,NA
AI ug/org,active ingredient micrograms per organism,FALSE,NA,NA
AI ug/org/d,active ingredient micrograms per organism per day,FALSE,NA,NA
AI ug/sd,active ingredient micrograms per seed,FALSE,NA,NA
AI ug/ul,active ingredient micrograms per microliter,FALSE,NA,NA
AI ug/ul diet,active ingredient micrograms per microliter diet,FALSE,NA,NA
AI ul/10 ul,active ingredient microliters per 10 microliters,FALSE,NA,NA
AI ul/L,active ingredient microliters per Liter,FALSE,NA,NA
AI ul/g diet,active ingredient microliters per gram diet,FALSE,NA,NA
AI ul/kg dry soil,active ingredient microliters per kilogram dry soil,FALSE,NA,NA
AI ul/ml,active ingredient microliters per milliliter,FALSE,NA,NA
AI umol/kg dry soil,active ingredient micromoles per kilogram dry soil,FALSE,NA,NA
ALB:YK,albumen to yolk ratio,FALSE,NA,NA
AU,arbitrary units,FALSE,NA,NA
B',Chromatid break,FALSE,NA,NA
B'',Isochromatid break,FALSE,NA,NA
BB units,BB units,FALSE,NA,NA
BO:LI,bone to liver ratio,FALSE,NA,NA
BR:BL,ratio of brain to blood,FALSE,NA,NA
BU,Bessey Units,FALSE,NA,NA
Bq,Becquerels,FALSE,NA,NA
Bq/L,Becquerels per liter,FALSE,NA,NA
Bq/g,Becquerels per gram,FALSE,NA,NA
Bq/kg,Becquerels per kilogram,FALSE,NA,NA
Bq/mg,Becquerels per milligram,FALSE,NA,NA
Bq/ml,Becquerels per milliliter,FALSE,NA,NA
Bq/org,Becquerels per organism,FALSE,NA,NA
C,"Centigrade, degrees",FALSE,NA,NA
CHLA:CHLB,ratio of chlorophyll a to chlorophyll b,FALSE,NA,NA
CI,color index,FALSE,NA,NA
CRB:BR,ratio of cerebellum to brain,FALSE,NA,NA
CRM:BR,ratio of cerebrum to brain,FALSE,NA,NA
CWU,CW units,FALSE,NA,NA
Ci/L,Curies per liter,FALSE,NA,NA
Ci/mmol,Curies per millimole,FALSE,NA,NA
Ci/mol,Curies per mole,FALSE,NA,NA
DB/mg pro,lipid aliphatic double bonds per milligram protein,FALSE,NA,NA
DNA:Protein,ratio of DNA to protein,FALSE,NA,NA
DNA:RNA,DNA to RNA ratio,FALSE,NA,NA
Draize score,Draize score,FALSE,NA,NA
EU/g,enzyme unit (amt of enzyme needed to catalyze)/g,FALSE,NA,NA
FER,feed efficiency ratio,FALSE,NA,NA
FM,female,FALSE,NA,NA
FM/lit,females per litter,FALSE,NA,NA
FM:ML,female to male ratio,FALSE,NA,NA
FTS:PLC,fetus to placenta ratio,FALSE,NA,NA
FU/g,fluorescence units per gram,FALSE,NA,NA
G',Chromatid gap,FALSE,NA,NA
G'',Isochromatid gap,FALSE,NA,NA
Gain:diet,ratio of weight gained to weight of diet consumed,FALSE,NA,NA
H',Shannon-Weiner Diversity index,FALSE,NA,NA
HA units,Hemaglutinating units,FALSE,NA,NA
Haugh U,Haugh units,FALSE,NA,NA
ICU/kg diet,International chick unit per kilogram diet,FALSE,NA,NA
IU,International Units,FALSE,NA,NA
IU/100 g bdwt,International Units per 100 grams body weight,FALSE,NA,NA
IU/L,International units per liter,FALSE,NA,NA
IU/d,International Units per day,FALSE,NA,NA
IU/g,International Units per gram,FALSE,NA,NA
IU/g TI,International Units per gram tissue,FALSE,NA,NA
IU/g diet,International units per gram diet,FALSE,NA,NA
IU/kg,International Units per kilogram,FALSE,NA,NA
IU/kg bdwt,International Units per kilogram body weight,FALSE,NA,NA
IU/kg diet,International units per kilogram diet,FALSE,NA,NA
IU/mg,International Units per milligram,FALSE,NA,NA
IU/mg Hb,International Units per milligram hemoglobin,FALSE,NA,NA
IU/mg TI,International Units per milligram tissue,FALSE,NA,NA
IU/mg pro,International Units per milligram pro,FALSE,NA,NA
IU/ml,International Units per milliliter,FALSE,NA,NA
IU/orgwt,International Units per organ weight,FALSE,NA,NA
J/beat,Joules per beat,FALSE,NA,NA
J/d,Joules per day,FALSE,NA,NA
K units,Karmen units,FALSE,NA,NA
K/ml,karmen units per milliliter,FALSE,NA,NA
KA units,King/Armstrong units,FALSE,NA,NA
KA/100 ml,King/Armstrong units per 100 milliliters,FALSE,NA,NA
KA/g,King/Armstrong units per gram,FALSE,NA,NA
KI:BR,kidney to brain ratio,FALSE,NA,NA
Kunit/ml,k unit per milliliter,FALSE,NA,NA
L,Liters,FALSE,NA,NA
L/0.25 m2,liters per 0.25 square meters,FALSE,NA,NA
L/0.4 ha,liter per 0.4 ha,FALSE,NA,NA
L/1.4 m3 soil,liters per 1.4 cubic meters soil,FALSE,NA,NA
L/1.5 cm3 soil,liters per 1.5 cubic centimeters soil,FALSE,NA,NA
L/10 ac,liters per 10 acres,FALSE,NA,NA
L/100 kg sd,liters per 100 kilograms seed,FALSE,NA,NA
L/100 lbs sd,liters per 100 pounds seed,FALSE,NA,NA
L/1000 L,liters per 1000 liters,FALSE,NA,NA
L/1000 bu,liters per 1000 bushels,FALSE,NA,NA
L/1041 L/ha,liters per 1041 liters per hectare,FALSE,NA,NA
L/160 m soil,liters per 160 meters soil,FALSE,NA,NA
L/161 m soil,liters per 161 meters soil,FALSE,NA,NA
L/80 kg N/ha,liters per 80 kilograms nitrogen per hectare,FALSE,NA,NA
L/eu,liters per experimental unit,FALSE,NA,NA
L/feddan,liters per feddan,FALSE,NA,NA
L/g,liters per gram,FALSE,NA,NA
L/ha,Liters per hectare,FALSE,NA,NA
L/kg,liters per kilogram,FALSE,NA,NA
L/km,liters per kilometer,FALSE,NA,NA
L/m2,Liters per square meter,FALSE,NA,NA
L/m3,liters per cubic meter,FALSE,NA,NA
L/mg,liters per milligram,FALSE,NA,NA
L/mmol,liters per millimole,FALSE,NA,NA
L/ton sd,liters per ton seed,FALSE,NA,NA
LGTH/s,length per second,FALSE,NA,NA
LGTH:THIK,length to thickness ratio,FALSE,NA,NA
LI:BR,liver to brain ratio,FALSE,NA,NA
LU:BR,lung to brain ratio,FALSE,NA,NA
M,molar,FALSE,NA,NA
M diet,Molar diet,FALSE,NA,NA
M/dm3,molar per cubic decameter,FALSE,NA,NA
M/m3,molar per cubic meter,FALSE,NA,NA
MBq,Megabecquerel,FALSE,NA,NA
MK:SR,milk to serum ratio,FALSE,NA,NA
ML,male,FALSE,NA,NA
ML/lit,males per litter,FALSE,NA,NA
ML/total,males per total population,FALSE,NA,NA
ML:FM,male to female ratio,FALSE,NA,NA
MPa,megaPascals,FALSE,NA,NA
N,Normal,FALSE,NA,NA
NA,not applicable,FALSE,NA,NA
NC,not coded,FALSE,NA,NA
NR,Not Reported,FALSE,NA,NA
OD,optical density,FALSE,NA,NA
OD/100 % RBC,optical density of 100% red blood cells,FALSE,NA,NA
OD/50 mg pro,optical density per 50 milligrams protein,FALSE,NA,NA
OD/WGHT,optical density per unit weight,FALSE,NA,NA
OD/g pro,units of optical density change per gram protein,FALSE,NA,NA
OD/mg pro,optical density per milligram protein,FALSE,NA,NA
OD/mi/mg pro,optical density per minute per milligram protein,FALSE,NA,NA
OT,optical transmission,FALSE,NA,NA
OT/1 cm WDTH,optical transmission per 1 centimeter bone width,FALSE,NA,NA
OT/1 mm CCT,optical transmission per 1 millimeter combined cortical thicknes,FALSE,NA,NA
OT/10 cm BO,optical transmission per 10 centimeters bone,FALSE,NA,NA
OT/10 kg WGHT,optical transmission per 10 kilograms weight,FALSE,NA,NA
OV:BR,ovary to brain ratio,FALSE,NA,NA
Odx10x3,optical density x10x3,FALSE,NA,NA
PCI,plastochron index,FALSE,NA,NA
PIg/L,PI grams per liter,FALSE,NA,NA
PL:BL,plasma to blood ratio,FALSE,NA,NA
PLC:BL,placenta to blood ratio,FALSE,NA,NA
PSU,practical salinity units,FALSE,NA,NA
R,weight/(lenght x width),FALSE,NA,NA
RA,ratio,FALSE,NA,NA
RA 1e-3,ratio X 1e-3,FALSE,NA,NA
RA/wk,ratio per week,FALSE,NA,NA
RF units,RF units,FALSE,NA,NA
RI,Ratcliffe index,FALSE,NA,NA
RNA:DNA,RNA to DNA ratio,FALSE,NA,NA
RNA:Protein,RNA to protein ratio,FALSE,NA,NA
RR,Centric fusions,FALSE,NA,NA
RSA/TI,relative specific activity per tissue,FALSE,NA,NA
RV:TV,ratio of right ventricle to total ventricle,FALSE,NA,NA
SA,Specific activity,FALSE,NA,NA
SFU,sigma Frankel units,FALSE,NA,NA
SL units,SL units,FALSE,NA,NA
SL:ME,slice to median ratio,FALSE,NA,NA
SP:BR,spleen to brain ratio,FALSE,NA,NA
T3:T4,Ratio of triidothyronine (T3) to thyroxine (T4),FALSE,NA,NA
TE:BR,testes to brain ratio,FALSE,NA,NA
TI:BL,Ratio of tissue to blood,FALSE,NA,NA
TS:BR,thymus to brain ratio,FALSE,NA,NA
Tbsp/100 gal,Tablespoons per 100 gallons,FALSE,NA,NA
Tbsp/eu,Tablespoons per experimental unit,FALSE,NA,NA
Tbsp/gal,Tablespoons per gallon,FALSE,NA,NA
U of fl,Units of fluorescence,FALSE,NA,NA
U/0.2 ml,units per 0.2 milliliters,FALSE,NA,NA
U/100 mg TI,Units per 100 milligram tissue,FALSE,NA,NA
U/kg,Units per kilogram,FALSE,NA,NA
U/kg dry diet,units per kilogram dry diet,FALSE,NA,NA
USP/org,USP units per organism,FALSE,NA,NA
V,value,FALSE,NA,NA
W units,Wrobleski units,FALSE,NA,NA
WER,water efficiency ratio,FALSE,NA,NA
WO:LI,Whole organism to liver ratio,FALSE,NA,NA
Wijs number,Wijs number,FALSE,NA,NA
[%inhib],"[percent inhibition:  % is unit, inhib is measurement]",FALSE,NA,NA
a-amino N/24 h,alpha aminonitrogen per 24 hours,FALSE,NA,NA
absrb,absorbance,FALSE,NA,NA
acre foot,acre foot,FALSE,NA,NA
act,activity,FALSE,NA,NA
act/g TI,activity per gram tissue,FALSE,NA,NA
act/g pro,activity per gram protein,FALSE,NA,NA
activ/nonactiv,activated to non-activated ratio,FALSE,NA,NA
acts/3 mi,acts per 3 minutes,FALSE,NA,NA
ad,adults,FALSE,NA,NA
ad/jv,adults per juvenile,FALSE,NA,NA
ae M,acid equivalents molar,FALSE,NA,NA
ae g/100 m2,acid equivalents grams per 100 square meters,FALSE,NA,NA
ae g/200 L,acid equivalents grams per 200 liters,FALSE,NA,NA
ae g/L,acid equivalents grams per liter,FALSE,NA,NA
ae g/ha,grams acid equivalents per hectare,FALSE,NA,NA
ae kg/ha,acid equivalents kilograms per hectare,FALSE,NA,NA
ae lb/100 gal,acid equivalent pounds per 100 gallons,FALSE,NA,NA
ae lb/acre,acid equivalents pounds per acre,FALSE,NA,NA
ae lb/gal,acid equivalent pounds per gallons,FALSE,NA,NA
ae mg/L,acid equivalents milligrams per liter,FALSE,NA,NA
ae mg/L diet,acid equivalents milligrams per liter diet,FALSE,NA,NA
ae mg/kg,acid equivalents milligrams per kiligrams,FALSE,NA,NA
ae mg/kg bdwt/d,acid equivalents milligrams per kilograms body weight per day,FALSE,NA,NA
ae mg/kg diet,acid equivalents milligrams per kilogram diet,FALSE,NA,NA
ae mg/kg diet/d,acid equivalents milligrams per kilogram diet per day,FALSE,NA,NA
ae mg/kg dry soil,acid equivalents milligrams per kilogram dry soil,FALSE,NA,NA
ae mg/kg/d,acid equivalents milligrams per kilogram per day,FALSE,NA,NA
ae mg/m2,acid equivalents milligrams per square meter,FALSE,NA,NA
ae mg/org,acid equivalents milligrams per organism,FALSE,NA,NA
ae mmol/kg soil,acid equivalents millimoles per kilogram soil,FALSE,NA,NA
ae ng/org,acid equivalents nanograms per organism,FALSE,NA,NA
ae oz/100 gal/acre,acid equivalents ounces per 100 gallons per acre,FALSE,NA,NA
ae ppb,acid equivalents parts per billion,FALSE,NA,NA
ae ppm,acid equivalents parts per million,FALSE,NA,NA
ae uM,acid equivalents micromolar,FALSE,NA,NA
ae ug/L,acid equivalents micrograms per liter,FALSE,NA,NA
ae ug/cm2,acid equivalents micrograms per square centimeter,FALSE,NA,NA
ae ug/ml,acid equivalents micrograms per milliliter,FALSE,NA,NA
ae ug/org,acid equivalents micrograms per organism,FALSE,NA,NA
ae ug/org/d,acid equivalents micrograms per organism per day,FALSE,NA,NA
ai g/L,active ingredient grams per liter,FALSE,NA,NA
ai g/kg sd,active ingredient grams per kilogram seed,FALSE,NA,NA
ai kg/379 l,active ingredient kilograms per 379 liters,FALSE,NA,NA
ai lb/ha,active ingredient pounds per hectare,FALSE,NA,NA
ai mg/kg org,active ingredient milligrams per kilogram organism,FALSE,NA,NA
ai mg/kg seed,Active ingredient milligrams per kilogram seed,FALSE,NA,NA
ai ml/100 m2,active ingredient milliliters per 100 square meters,FALSE,NA,NA
ai oz/bu,active ingredient ounces per bushel,FALSE,NA,NA
ai oz/bu sd,active ingredient ounces per bushel of seed,FALSE,NA,NA
amend:unamend,amended to unamended treatments ratio,FALSE,NA,NA
amol/cell,attomoles per cell,FALSE,NA,NA
b/ml,billions per milliliter,FALSE,NA,NA
beats*ml/mi2,beats*milliliters per square minute,FALSE,NA,NA
beats/mi,beats per minute,FALSE,NA,NA
bees/d,bees per day,FALSE,NA,NA
births,births,FALSE,NA,NA
bits,bits,FALSE,NA,NA
branches/org,number of branches per organism,FALSE,NA,NA
bt/mi,<beats per minute>,FALSE,NA,NA
bud/org,buds per organism,FALSE,NA,NA
burrows,burrows,FALSE,NA,NA
bushel/acre,bushels per acre,FALSE,NA,NA
bushels,bushels,FALSE,NA,NA
cRNA/mgRNA/DNA,(counts per minute RNA per milligram RNA) per milligram DNA,FALSE,NA,NA
cal,calories,FALSE,NA,NA
cal/d,calories per day,FALSE,NA,NA
castings,castings,FALSE,NA,NA
casts/eu,casts per experimental unit,FALSE,NA,NA
casts/m2/d,casts per square meter per day,FALSE,NA,NA
casts/pl,casts per plot,FALSE,NA,NA
cc,cocoons,FALSE,NA,NA
cc/10 ad,cocoons per 10 adults,FALSE,NA,NA
cc/ad,cocoons per adult,FALSE,NA,NA
cc/cntr,cocoons per container,FALSE,NA,NA
cc/eu,cocoons per experimental unit,FALSE,NA,NA
cc/org,cocoons per organism,FALSE,NA,NA
cc/org/8 wk,cocoons per organism per 8 weeks,FALSE,NA,NA
cc/org/wk,cocoons per organism per week,FALSE,NA,NA
cc/sad,cocoons per surviving adult,FALSE,NA,NA
cc/unit,cocoons per unit,FALSE,NA,NA
cell/8 srtl cel,cells per 8 sertoli cells,FALSE,NA,NA
cell/mi x10x3,cells per minute x10x3,FALSE,NA,NA
cell/mm3,cells per cubic millimeter,FALSE,NA,NA
cell/u.a.,cells per unit area,FALSE,NA,NA
cell:nuclei,cells to nuclei ratio,FALSE,NA,NA
cells,cells,FALSE,NA,NA
cells/100 clm,cells per 100 coelomocytes,FALSE,NA,NA
cells/1e+6 cell,cells per 1 X 10 +6 cells,FALSE,NA,NA
cells/50 mg,cells per 50 milligrams,FALSE,NA,NA
cells/TI,cells per tissue,FALSE,NA,NA
cells/area,cells per area,FALSE,NA,NA
cells/mg TI,cells per milligram tissue,FALSE,NA,NA
cells/ml,cells per milliliter,FALSE,NA,NA
cells/mm cortex,cells per millimeter cortex,FALSE,NA,NA
cells/mm folium,cells per millimeter folium,FALSE,NA,NA
cells/mm2,cells per square millimeter,FALSE,NA,NA
cells/tubule,cells per tubule,FALSE,NA,NA
cellx10x2/ul,cells x10x2 per microliter,FALSE,NA,NA
cfu/mg,colony forming units per milligram,FALSE,NA,NA
cfu/ml,colony forming units per milliliter,FALSE,NA,NA
chem/d,chemical per day,FALSE,NA,NA
clusters,clusters,FALSE,NA,NA
clutches,clutches,FALSE,NA,NA
cm,centimeters,FALSE,NA,NA
cm diet,centimeters of diet,FALSE,NA,NA
cm/cm3,centimeters per cubic centimeter,FALSE,NA,NA
cm/d,centimeters per day,FALSE,NA,NA
cm/dm3,centimeters per cubic decimeter,FALSE,NA,NA
cm/g bdwt/h,centimeters per gram bodyweight per hour,FALSE,NA,NA
cm/g soil,centimeters per gram soil,FALSE,NA,NA
cm/org,centimeters per organisms,FALSE,NA,NA
cm/wk,centimeters per week,FALSE,NA,NA
cm2,centimeters squared,FALSE,NA,NA
cm2/100 bees,centimeters squared per 100 bees,FALSE,NA,NA
cm2/kg,square centimeters per kilogram,FALSE,NA,NA
cm2/org,square centimeters per organism,FALSE,NA,NA
cm3,cubic centimeters,FALSE,NA,NA
cm3 O2 evolved,cubic centimeters of oxygen evolved,FALSE,NA,NA
cm3 O2/g/h,cubic centimeters of O2 per gram per hour,FALSE,NA,NA
cm3/0.7 ha,cubic centimeters per 0.7 hectare,FALSE,NA,NA
cm3/100 L,cubic centimeters per 100 liters,FALSE,NA,NA
cm3/100 g bdwt,cubic centimeters per 100 grams body weight,FALSE,NA,NA
cm3/100 g sd,cubic centimeters per 100 grams seed,FALSE,NA,NA
cm3/1000 L,cubic centimeters per 1000 liters,FALSE,NA,NA
cm3/4 L,cubic centimeters per 4 liters,FALSE,NA,NA
cm3/600 cm3 H2O,cubic centimeters per 600 cubic centimeters of water,FALSE,NA,NA
cm3/cm3,cubic centimeters per cubic centimeters,FALSE,NA,NA
cm3/dm3,cubic centimeters per cubic decimeter,FALSE,NA,NA
cm3/eu,cubic centimeters per experimental unit,FALSE,NA,NA
cm3/feddan,cubic centimeters per feddan (1 feddan = 1.038 acres),FALSE,NA,NA
cm3/ft,cubic centimeters per foot,FALSE,NA,NA
cm3/ft2,cubic centimeters per square foot,FALSE,NA,NA
cm3/hL,cubic centimeters per hectoliter,FALSE,NA,NA
cm3/ha,cubic centimeters per hectare,FALSE,NA,NA
cm3/kg,cubic centimeters per kilogram,FALSE,NA,NA
cm3/kg bdwt,cubic centimeters per kilogram body weight,FALSE,NA,NA
cm3/kg sd,cubic centimeters per kilogram seed,FALSE,NA,NA
cm3/l,cubic centimeters per liter,FALSE,NA,NA
cm3/m2,cubic centimeters per square meter,FALSE,NA,NA
cm3/org,cubic centimeters per organism,FALSE,NA,NA
cm3/yd,cubic centimeters per yard,FALSE,NA,NA
cm3/yd2,cubic centimeters per square yard,FALSE,NA,NA
cmol/kg,centimoles of charges/kilogram,FALSE,NA,NA
cmol/kg dry soil,centimoles per kilograms dry soil,FALSE,NA,NA
cpm,counts per minute,FALSE,NA,NA
cpm 1e-4,counts per minute * 1 X 10-4,FALSE,NA,NA
cpm x 1000,counts per minute X 1000,FALSE,NA,NA
cpm/1e+5 cells,counts per minute per 1X10+5 cells,FALSE,NA,NA
cpm/L,counts per minute per liter,FALSE,NA,NA
cpm/cc,counts per minute per coccoon,FALSE,NA,NA
cpm/g TI,counts per minute per gram tissue,FALSE,NA,NA
cpm/mg,counts per minute per milligram,FALSE,NA,NA
cpm/mg DNA,counts per minute per milligram DNA,FALSE,NA,NA
cpm/mg RNA,counts per minute per milligram RNA,FALSE,NA,NA
cpm/mg UA,counts per minute per milligram uronic acid,FALSE,NA,NA
cpm/mg pro,counts per minute per milligram protein,FALSE,NA,NA
cpm/ml,counts per minute per milliliter,FALSE,NA,NA
cpm/org,counts per minute per organism,FALSE,NA,NA
cwt/acre,hundredweights per acre,FALSE,NA,NA
cyc/deg,cycles per degree,FALSE,NA,NA
d,day,FALSE,NA,NA
dS/m,deciSiemens per meter,FALSE,NA,NA
dead:live,dead to live organisms ratio,FALSE,NA,NA
degree,degree,FALSE,NA,NA
diet:Gain,ratio of weight of diet consumed to weight gained,FALSE,NA,NA
diet:WTR,diet to diet ratio,FALSE,NA,NA
divisions/cell,divisions per cell,FALSE,NA,NA
dm2,decimeters squared,FALSE,NA,NA
dm3/ha,cubic decimeter per hectare,FALSE,NA,NA
dn(Cyprus),"dunam, dunum or donum (Cyprus = 1338 square meters)",FALSE,NA,NA
dn(Iraq),"dunam, dunum or donum (Iraq = 2500 square meters)",FALSE,NA,NA
dn(Std),"dunam, dunum or donum (Standard metric = 1000 square meters)",FALSE,NA,NA
dpm,disintegrations per minute,FALSE,NA,NA
dpm 1e-3/ml,disintegrations per minute * 1 X 10-3 per milliliter,FALSE,NA,NA
dpm treat:cntl,ratio of disintegrations per minute treated to control,FALSE,NA,NA
dpm/167 mg TI,disintegrations per minute per 167 milligrams tissue,FALSE,NA,NA
dpm/800 g soil,disintegrations per 800 grams soil,FALSE,NA,NA
dpm/EU,disintegrations per minute per experimental unit,FALSE,NA,NA
dpm/g,disintegrations per minute per gram of tissue,FALSE,NA,NA
dpm/g*100,disintegrations per minute per gram*100,FALSE,NA,NA
dpm/mg,disintegrations per minute per milligram,FALSE,NA,NA
dpm/mg FA,disintegrations per minute per milligram fatty acid,FALSE,NA,NA
dpm/mg GH,disintegrations per minute per milligram growth hormone,FALSE,NA,NA
dpm/mg GH*100,disintegrations per minute per milligram growth hormone*100,FALSE,NA,NA
dpm/mg pro,disintegrations per minute per milligram protein,FALSE,NA,NA
dpm/ml,disintegrations per minute per milliliter,FALSE,NA,NA
dpm/n,disintegrations per minute per N,FALSE,NA,NA
e/100 hd,eggs per 100 hen days,FALSE,NA,NA
e/hd,eggs per hen day,FALSE,NA,NA
ea/eu,ears per experimental unit,FALSE,NA,NA
egg cap/org,egg capsules per organism,FALSE,NA,NA
egg/100 ad,eggs per 100 adults,FALSE,NA,NA
eggs,egg(s),FALSE,NA,NA
eggs/10 wks,eggs per 10 weeks,FALSE,NA,NA
eggs/8 wks,eggs per 8 weeks,FALSE,NA,NA
eggs/BDAY,eggs per bird-day,FALSE,NA,NA
eggs/d,eggs per day,FALSE,NA,NA
eggs/fm,eggs per female,FALSE,NA,NA
eggs/fm/8 wk,eggs per female per 8 weeks,FALSE,NA,NA
eggs/fm/d,eggs per female per day,FALSE,NA,NA
eggs/fm/wk,eggs per female per week,FALSE,NA,NA
eggs/org,eggs per organism,FALSE,NA,NA
eggs/org/d,eggs per organism per day,FALSE,NA,NA
eggs/org/wk,eggs per organism per week,FALSE,NA,NA
eggs/pair,eggs per pair,FALSE,NA,NA
eggs/raft,eggs per raft,FALSE,NA,NA
em,embryos,FALSE,NA,NA
em/FM,embryos per female,FALSE,NA,NA
enz act,enzyme activity or enzyme activity unit,FALSE,NA,NA
enz act/mg,enzyme activity per milligram,FALSE,NA,NA
eq/l,equivalents per liter,FALSE,NA,NA
eu,enzyme unit,FALSE,NA,NA
failures,failures,FALSE,NA,NA
fet,fetuses,FALSE,NA,NA
fetuses/litter,fetuses per litter,FALSE,NA,NA
fg,femtogram,FALSE,NA,NA
