UniqueID,Variable,Component,EMS_Code,CAS_number,Use,Media,Type,Days,Samples,Statistic,NarrativeWQG,MethodNotes,Condition,ConditionNotes,PredictedEffectLevel,Direction,Limit,LimitNotes,Units,Status,Reference,Reference Link,Overview Report Link,Technical Document Link
218,"Chlorophenol, 4-MCP",Total,EMS_M050,(106-48-9),Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,"(1/10^(1.06-log(4^(EMS_0004-9.37)+1,10))*129)*0.54",,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/bc_env_chlorophenols_waterqualityguideline_overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/bc_env_chlorophenols_waterqualityguideline_technical.pdf
219,"Chlorophenol, DCP",Total,EMS_D060,(Various Compounds),Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.0003,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
220,"Chlorophenol, DCP",Total,EMS_D060,(Various Compounds),Recreation,Water,Primary Contact,1,1,max,,,,,No Effect,Upper Limit,0.0003,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
221,"Chlorophenol, MCP",Total,EMS_M050,(Various Compounds),Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.0001,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
222,"Chlorophenol, MCP",Total,EMS_M050,(Various Compounds),Recreation,Water,Primary Contact,1,1,max,,,,,No Effect,Upper Limit,0.0001,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
223,"Chlorophenol, PCP",Total,EMS_P022,(Various Compounds),Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,,No Effect,Upper Limit,0.06,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
224,"Chlorophenol, PCP",Total,EMS_P022,(Various Compounds),Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.03,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
225,"Chlorophenol, PCP",Total,EMS_P022,(Various Compounds),Recreation,Water,Primary Contact,1,1,max,,,,,No Effect,Upper Limit,0.03,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
226,"Chlorophenol, TCP",Total,EMS_T021,(Various Compounds),Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.002,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
227,"Chlorophenol, TCP",Total,EMS_T021,(Various Compounds),Recreation,Water,Primary Contact,1,1,max,,,,,No Effect,Upper Limit,0.002,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
228,"Chlorophenol, TTCP",Total,EMS_T020,(Various Compounds),Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.001,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
229,"Chlorophenol, TTCP",Total,EMS_T020,(Various Compounds),Recreation,Water,Primary Contact,1,1,max,,,,,No Effect,Upper Limit,0.001,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
230,Chlorophyll a,Total,EMS_0143,(479-61-8),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,Naturally growing periphytic algae.,No Effect,Upper Limit,100,,mg/m2,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nutrients-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/bc_env_nutrients_and_algae_waterqualityguidelines_technical.pdf
231,Chlorophyll a,Total,EMS_0143,(479-61-8),Recreation,Water,Primary Contact,1,1,max,,,,"Rivers, streams or creeks.",No Effect,Upper Limit,50,,mg/m2,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
232,"Chlorothalonil (2,4,5,6-Tetrachloro-1,3-benzenecarbonitrile, Daconil)",Total,EMS_C016,(1897-45-6),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,5.8,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
233,"Chlorothalonil (2,4,5,6-Tetrachloro-1,3-benzenecarbonitrile, Daconil)",Total,EMS_C016,(1897-45-6),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,170,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
234,"Chlorothalonil (2,4,5,6-Tetrachloro-1,3-benzenecarbonitrile, Daconil)",Total,EMS_C016,(1897-45-6),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.18,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
235,"Chlorothalonil (2,4,5,6-Tetrachloro-1,3-benzenecarbonitrile, Daconil)",Total,EMS_C016,(1897-45-6),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.36,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
236,Chlorpyrifos,Total,EMS_C017,(2921-88-2),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,24,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
237,Chlorpyrifos,Total,EMS_C017,(2921-88-2),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.002,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
238,Chlorpyrifos,Total,EMS_C017,(2921-88-2),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.002,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
239,Chromium hexavalent,Total,EMS_CR_6,(18540-29-9),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,8,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
240,Chromium hexavalent,Total,EMS_CR_6,(18540-29-9),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,50,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
241,Chromium hexavalent,Total,EMS_CR_6,(18540-29-9),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
242,Chromium hexavalent,Total,EMS_CR_6,(18540-29-9),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.5,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
243,Chromium,Total,EMS_CR_T,(7440-47-3),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,37.3,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
244,Chromium,Total,EMS_CR_T,(7440-47-3),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,90,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
245,Chromium,Total,EMS_CR_T,(7440-47-3),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,52.3,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
246,Chromium,Total,EMS_CR_T,(7440-47-3),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,160,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
247,Chromium trivalent,Total,EMS_CR_3,(16065-83-1),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,4.9,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
248,Chromium trivalent,Total,EMS_CR_3,(16065-83-1),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,50,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
249,Chromium trivalent,Total,EMS_CR_3,(16065-83-1),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,8.9,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
250,Chromium trivalent,Total,EMS_CR_3,(16065-83-1),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,56,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
251,Chrysene,Total,EMS_PA09,(218-01-9),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.0571,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
252,Chrysene,Total,EMS_PA09,(218-01-9),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.862,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
254,Chrysene,Total,EMS_PA09,(218-01-9),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.108,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
255,Chrysene,Total,EMS_PA09,(218-01-9),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.846,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
256,Chrysene,Total,EMS_PA09,(218-01-9),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.1,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
257,Cobalt,Total,EMS_CO_T,(7440-48-4),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,Continuous or intermittent use on all soils. Older 20 year maximum concentrations have been removed as it is no longer considered appropriate to provide a guideline limit which will result in soil concentrations above the guideline after 20 years of exposure.,No Effect,Upper Limit,50,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
258,Cobalt,Total,EMS_CO_T,(7440-48-4),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
259,Cobalt,Total,EMS_CO_T,(7440-48-4),Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,110,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/coblat-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cobalt_tech.pdf
260,Cobalt,Total,EMS_CO_T,(7440-48-4),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,4,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/coblat-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cobalt_tech.pdf
261,Microbial indicators-Fecal Coliforms,Total,EMS_0450,(NA),Drinking Water,Water,Maximum Acceptable Concentration,30,5,quantile90,,,,,No Effect,Upper Limit,10,,CFU/100 mL,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
262,Colour Apparent,Total,EMS_0001,(NA),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Lower Limit,EMS_0001 * 0.8,White light.,Apparent,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
263,Colour Apparent,Total,EMS_0001,(NA),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Lower Limit,EMS_0001 * 0.8,White light.,Apparent,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
264,Colour Apparent,Total,EMS_0001,(NA),Wildlife,Water,Long-term chronic,30,5,mean,,,,,No Effect,Lower Limit,EMS_0001 * 0.8,White light.,Apparent,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
265,Colour True,Total,EMS_0002,(NA),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,30-day average true colour in filtered water samples should not exceed background levels by more than 5 mg/L Pt in clear water systems or 20% in coloured water systems.,,,,No Effect,,,,,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
266,Colour True,Total,EMS_0002,(NA),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,30-day average true colour in filtered water samples should not exceed background levels by more than 5 mg/L Pt in clear water systems or 20% in coloured water systems.,,,,No Effect,,,,,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
267,Colour True,Total,EMS_0002,(NA),Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,15,,TCU,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
268,Colour True,Total,EMS_0002,(NA),Recreation,Water,Aesthetic Objective,30,5,mean,,,,,No Effect,Upper Limit,15,,TCU,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
269,Colour True,Total,EMS_0002,(NA),Wildlife,Water,Long-term chronic,30,5,mean,30-day average true colour in filtered water samples should not exceed background levels by more than 5 mg/L Pt in clear water systems or 20% in coloured water systems.,,,,No Effect,,,,,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
270,Conductivity Specific,Total,EMS_0011,(NA),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Low tolerance crops (strawberry, raspberry, bean, carrot).",No Effect,Upper Limit,0.7,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
271,Conductivity Specific,Total,EMS_0011,(NA),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Slightly tolerant crops (all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover)",No Effect,Upper Limit,1.2,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
272,Conductivity Specific,Total,EMS_0011,(NA),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Moderately tolerant crops (spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass).",No Effect,Upper Limit,2.2,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
273,Conductivity Specific,Total,EMS_0011,(NA),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Tolerant crops (beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegras).",No Effect,Upper Limit,3.6,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
274,Conductivity Specific,Total,EMS_0011,(NA),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Very tolerant crops (asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass).",No Effect,Upper Limit,5,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
275,Conductivity Specific,Total,EMS_SC_F,(NA),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Low tolerance crops (strawberry, raspberry, bean, carrot).",No Effect,Upper Limit,0.7,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
276,Conductivity Specific,Total,EMS_SC_F,(NA),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Slightly tolerant crops (all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover)",No Effect,Upper Limit,1.2,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
277,Conductivity Specific,Total,EMS_SC_F,(NA),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Moderately tolerant crops (spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass).",No Effect,Upper Limit,2.2,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
278,Conductivity Specific,Total,EMS_SC_F,(NA),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Tolerant crops (beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegras).",No Effect,Upper Limit,3.6,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
279,Conductivity Specific,Total,EMS_SC_F,(NA),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Very tolerant crops (asparagus, soybean, safflower, oats, rye wheat, sugar beet, barley, barley hay, tall wheatgrass).",No Effect,Upper Limit,5,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
280,Copper,Dissolved,EMS_CU_D,(7440-50-8),Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,23ada5c3-67a6-4703-9369-c8d690b092e1,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
281,Copper,Dissolved,EMS_CU_D,(7440-50-8),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,a35c7d13-76dd-4c23-aab8-7b32b0310e2f,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
282,Copper,Total,EMS_CU_T,(7440-50-8),Agriculture - Irrigation,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,200,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
283,Copper,Total,EMS_CU_T,(7440-50-8),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,300,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
284,Copper,Total,EMS_CU_T,(7440-50-8),Aquatic Life - Estuarine,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,3,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
285,Copper,Total,EMS_CU_T,(7440-50-8),Aquatic Life - Estuarine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,2,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_users_guide.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/copper/bc_copper_wqg_aquatic_life_technical_report.pdf
286,Copper,Total,EMS_CU_T,(7440-50-8),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,35.7,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
287,Copper,Total,EMS_CU_T,(7440-50-8),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,197,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
288,Copper,Total,EMS_CU_T,(7440-50-8),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,18.7,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
289,Copper,Total,EMS_CU_T,(7440-50-8),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,108,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
